response,best_model_id,best_model_label,formula,compare_dataset_rows,final_dataset_rows,n_zero,zero_ratio,AIC,BIC,logLik,dispersion_parameter,convergence_code,converged,pdHess,area_variance,area_sd,vessel_variance,vessel_sd,warning_message
chu,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),response ~ year + month + depth_cat + offset(log(effort_glmm)) +      (1 | area) + (1 | vessel),1016,1016,40,0.03937007874015748,8338.41588127028,8441.812082461187,-4148.20794063514,1.7309152693596215,0,TRUE,TRUE,0.5290372592892729,0.7273494753481802,0.05037908531666907,0.2244528576709797,
dai,YM_year_month_Dc_Rav,year + month + depth_cat + offset + (1|area) + (1|vessel),response ~ year + month + depth_cat + offset(log(effort_glmm)) +      (1 | area) + (1 | vessel),1016,1016,29,0.028543307086614175,8479.794156627066,8583.190357817972,-4218.897078313533,2.194459709913791,0,TRUE,TRUE,0.3674926737736485,0.60621174004934,0.04817292928670472,0.21948332348200106,
toku,YM_year_month_D2_Rav,year + month + depth_quad + offset + (1|area) + (1|vessel),response ~ year + month + depth_glmm_sc + I(depth_glmm_sc^2) +      offset(log(effort_glmm)) + (1 | area) + (1 | vessel),1016,1016,40,0.03937007874015748,8090.789196985677,8194.185398176583,-4024.3945984928387,2.1124802883903144,0,TRUE,TRUE,0.13386402545294845,0.3658743301366583,0.023598506977514165,0.15361805550622676,
tokudai,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),response ~ year + month + offset(log(effort_glmm)) + (1 | area) +      (1 | vessel),1016,1377,110,0.07988380537400146,10203.6758904991,10303.001477974945,-5082.83794524955,1.4681854864002146,0,TRUE,TRUE,0.11652039004546362,0.3413508313238209,0.08538972392714143,0.29221520139640483,
count_total,YM_year_month_D0_Rav,year + month + offset + (1|area) + (1|vessel),response ~ year + month + offset(log(effort_glmm)) + (1 | area) +      (1 | vessel),1016,1377,53,0.03848946986201888,15757.853112811186,15857.178700287031,-7859.926556405593,1.8904454832474764,0,TRUE,TRUE,0.16092135793144757,0.4011500441623403,0.019113358673492554,0.13825107114772223,
