response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
dai,Y_year_only_Dc_Rav,year + depth_cat + offset + (1|area) + (1|vessel),completed,1016,8532.63104795173,8581.867334233115,-4256.315523975865,TRUE,TRUE,,52.836891324664975,TRUE,cat,area_vessel,year_only
dai,Y_year_only_D2_Rav,year + depth_quad + offset + (1|area) + (1|vessel),completed,1016,8532.736259878691,8581.972546160076,-4256.368129939346,TRUE,TRUE,,52.94210325162567,TRUE,quad,area_vessel,year_only
dai,YM_year_month_D2_Ra,year + month + depth_quad + offset + (1|area),completed,1016,8535.391385717949,8633.863958280717,-4247.695692858974,TRUE,TRUE,,55.59722909088305,TRUE,quad,area,year_month
dai,Y_year_only_D0_Rav,year + offset + (1|area) + (1|vessel),completed,1016,8536.289417159776,8575.678446184884,-4260.144708579888,TRUE,TRUE,,56.495260532710745,FALSE,none,area_vessel,year_only
dai,YM_year_month_D0_Ra,year + month + offset + (1|area),completed,1016,8537.432048860182,8626.057364166674,-4250.716024430091,TRUE,TRUE,,57.63789223311687,FALSE,none,area,year_month
dai,YM_year_month_Dc_Ra,year + month + depth_cat + offset + (1|area),completed,1016,8538.55956407912,8637.032136641888,-4249.27978203956,TRUE,TRUE,,58.765407452054205,TRUE,cat,area,year_month
dai,YM_year_month_Dc_Rv,year + month + depth_cat + offset + (1|vessel),completed,1016,8581.890643720026,8680.363216282794,-4270.945321860013,TRUE,TRUE,,102.09648709296016,TRUE,cat,vessel,year_month
dai,YM_year_month_D0_Rv,year + month + offset + (1|vessel),completed,1016,8585.753856276888,8674.37917158338,-4274.876928138444,TRUE,TRUE,,105.95969964982214,FALSE,none,vessel,year_month
dai,YM_year_month_D2_Rv,year + month + depth_quad + offset + (1|vessel),completed,1016,8587.94835906442,8686.420931627188,-4273.97417953221,TRUE,TRUE,,108.15420243735389,TRUE,quad,vessel,year_month
dai,Y_year_only_D2_Ra,year + depth_quad + offset + (1|area),completed,1016,8588.165082700723,8632.477740353968,-4285.082541350362,TRUE,TRUE,,108.37092607365776,TRUE,quad,area,year_only
dai,Y_year_only_Dc_Ra,year + depth_cat + offset + (1|area),completed,1016,8599.236887135392,8643.549544788637,-4290.618443567696,TRUE,TRUE,,119.44273050832635,TRUE,cat,area,year_only
